Motif,Diseased_%,Baseline_%,Log2FC,t_p,OR,fisher_p,q
Trimannosylcore,0.0,91.0,-9.83,2.556292655712788e-59,0.0,2.116744575016216e-18,1.7463142743883784e-16
Chitobiose,0.0,91.0,-9.83,2.556292655712788e-59,0.0,2.116744575016216e-18,1.7463142743883784e-16
Oglycan_core1,52.2,0.0,9.03,6.73043204786013e-05,inf,3.2090976780245994e-11,1.7606730562915868e-09
core_fucose,0.0,71.2,-9.48,1.7499780523516467e-31,0.0,4.2682983182826346e-11,1.7606730562915868e-09
Internal_LacNAc_type2,4.3,58.6,-3.72,8.731828513084126e-13,0.032167832167832165,9.14826583368399e-07,3.0189277251157164e-05
Terminal_LacNAc_type2,4.3,54.1,-3.61,2.4578895422938742e-11,0.038636363636363635,4.476268214825471e-06,0.00012309737590770047
Disialyl_T_antigen,17.4,0.0,7.45,0.04262241616659586,inf,0.0006896014103847976,0.016254890387641656
Internal_LewisX,0.0,27.9,-8.13,2.1131322192090616e-09,0.0,0.0019959533108248194,0.0411665370357619
Galili_antigen,0.0,18.9,-7.57,1.6485181178560025e-06,0.0,0.023904390394938642,0.42587812815621146
Oglycan_core2,8.7,0.0,6.46,0.1618596233071981,inf,0.028391875210414096,0.42587812815621146
Mucin_elongated_core2,8.7,0.0,6.46,0.1618596233071981,inf,0.028391875210414096,0.42587812815621146
bisectingGlcNAc,0.0,17.1,-7.43,5.780952037698444e-06,0.0,0.04307400234646558,0.5922675322639017
Terminal_LacNAc_type1,0.0,13.5,-7.09,6.683258887790525e-05,0.0,0.07302618707260466,0.9268708359215209
H_type3,4.3,0.0,5.48,0.3281832618806709,inf,0.17164179104477614,1.0
i_antigen,0.0,9.0,-6.51,0.001302951703394054,0.0,0.20997477677418058,1.0
high_mannose,0.0,10.8,-6.77,0.0004007679777656946,0.0,0.2197665260121654,1.0
Lactosylceramide,13.0,8.1,0.68,0.5233882053769793,1.7,0.43216536655587434,1.0
H_antigen_type2,0.0,4.5,-5.52,0.024666943266920073,0.0,0.5874099605592802,1.0
PolyLacNAc,0.0,5.4,-5.78,0.01363273613132441,0.0,0.5893289839985394,1.0
A_antigen_type2,0.0,0.0,0.0,1.0,,1.0,1.0
