# Galectin-8 C-CRD Targeted Glycan Binding — Ocular-Relevant Epitopes
# Gal-8C binding scores organised by glycan class: LacNAc, Tn antigen, Core 2, Core 3, Sialyl-T, and Sialyl-Tn.
# All glycans were selected for relevance to the ocular surface and overlap with known Galectin-3 target epitopes.
# Scores are log-scale RFU values from glycan microarray data in the glycowork glycan_binding dataset.
# Generated in galectin8_analysis_enhanced.ipynb to compare Gal-8C vs Gal-3 affinity on shared ocular glycan structures.
glycan_class,glycan,gal8c_score,status
LacNAc,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc,5.1849,MEASURED
LacNAc,Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)GlcNAc,2.0454,MEASURED
LacNAc,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,1.803,MEASURED
LacNAc,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc,1.5284,MEASURED
LacNAc,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc,0.6556,MEASURED
LacNAc,Neu5Ac(a2-3)Gal(b1-4)GlcNAc6S,0.3787,MEASURED
LacNAc,Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc,0.3164,MEASURED
LacNAc,Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc,0.2428,MEASURED
LacNAc,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc,0.1178,MEASURED
LacNAc,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc,0.1082,MEASURED
LacNAc,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc,0.0421,MEASURED
LacNAc,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc,-0.0093,MEASURED
LacNAc,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc,-0.0745,MEASURED
LacNAc,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc,-0.1219,MEASURED
LacNAc,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc,-0.1223,MEASURED
LacNAc,Neu5Ac(a2-3)Gal(b1-4)GlcNAc,-0.1607,MEASURED
LacNAc,Kdn(a2-3)Gal(b1-4)GlcNAc,-0.2048,MEASURED
