glycan,glycan_type,tissue_sample,disease_association,n_tissue_labels
Neu5Ac(a2-3)Gal(b1-4)Glc1Cer,lipid,A549_cell_line; AML_193_cell_line; CHOK1_cell_line; EOL_1_cell_line; HEK293_cell,"['cataract', 'glioblastoma', 'lung_small_cell_carcinoma', 'melanoma']",184
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; B_cell; C10_cell_line; CHOK1_cell_line; CHOS_cell_line; COLO_205_,"['Toxoplasma_gondii_infection', 'chronic_low_back_pain', 'lung_non_small_cell_ca",142
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; BMMC_cell_line; B_cell; C10_cell_line; CHOS_cell_line; COLO_205_c,"['atrial_fibrillation', 'chronic_low_back_pain', 'lung_non_small_cell_carcinoma'",140
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; A9_fibroblast_cell_line; BMMC_cell_line; B_cell; C10_cell_line; C,"['Crohn_disease', 'Lyme_disease', 'colorectal_cancer', 'differentiated_thyroid_g",131
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc1Cer,lipid,HEL92_1_7_cell_line; HEL_cell_line; HL_60_cell_line; KG_1_cell_line; KG_1a_cell_,"['lung_small_cell_carcinoma', 'melanoma', 'melanoma']",126
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,lipid,A549_cell_line; HCT116_cell_line; HEK293_cell_line; HEL92_1_7_cell_line; HEL_cel,"['cataract', 'glioblastoma', 'lung_small_cell_carcinoma', 'thymic_carcinoma']",125
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,BMMC_cell_line; B_cell; C10_cell_line; CHOK1_cell_line; CHOS_cell_line; COLO_205,"['atrial_fibrillation', 'chronic_low_back_pain', 'diabetic_kidney_disease', 'fil",122
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; BMMC_cell_line; C10_cell_line; CHOK1_cell_line; CHOS_cell_line; C,"['Lyme_disease', 'Parkinson_disease', 'Toxoplasma_gondii_infection', 'chronic_lo",116
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; A549_cell_line; AML_193_cell_line; C10_cell_line; CHOK1_cell_line,"['REM_sleep_behavior_disorder', 'benign_breast_tumor_tissues_vs_para_carcinoma_t",115
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,lipid,A549_cell_line; AML_193_cell_line; HCT116_cell_line; HEK293_cell_line; HEL92_1_7,"['glioblastoma', 'lung_small_cell_carcinoma']",107
Neu5Ac(a2-3)Gal(b1-3)GalNAc,O,A549_cell_line; AML_193_cell_line; CHOK1_cell_line; CaCo_2_cell_line; EOL_1_cell,"['cholangiocarcinoma', 'colorectal_cancer', 'colorectal_cancer', 'colorectal_can",99
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,O,A549_cell_line; AML_193_cell_line; B_cell; C10_cell_line; CHOK1_cell_line; EOL_1,"['Parkinson_disease', 'cholangiocarcinoma', 'colorectal_cancer', 'colorectal_can",99
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; AML_193_cell_line; C10_cell_line; CHOK1_cell_line; CHOK1_cell_lin,"['LPS_induced_inflammation', 'benign_breast_tumor_tissues_vs_para_carcinoma_tiss",96
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; Apo_H; B_cell; CHOS_cell_line; COLO_205_cell_line; Cal-27_cell_li,"['Lyme_disease', 'esophagus_adenocarcinoma', 'filarial_elephantiasis', 'type_2_d",93
Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; A9_fibroblast_cell_line; BMMC_cell_line; C10_cell_line; CHOS_cell,['colorectal_cancer'],90
Neu5Ac(a2-8)Neu5Ac(a2-3)[Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc1Cer,lipid,HEL_cell_line; HL_60_cell_line; ME_1_cell_line; ML_1_cell_line; TF_1_cell_line; ,"['alzheimers_disease', 'glioblastoma']",83
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc1Cer,lipid,A549_cell_line; HEK293_cell_line; N370FG_cell_line; adipose_tissue; astrocyte; b,['cataract'],81
Glc1Cer,lipid,COS7_cell_line; HT29_cell_line; M1_cell_line; MDCK_cell_line; N370FG_cell_line; ,['melanoma'],79
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; A549_cell_line; AML_193_cell_line; C10_cell_line; CHOS_cell_line;,['thyroid_gland_papillary_carcinoma'],77
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,lipid,adipose_tissue; adrenal_medulla; aorta; astrocyte; blood_serum; brain; brain; br,[],77
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,HL_60_cell_line; K562_cell_line; MDCK_SIAT1_cell_line; MDCK_cell_line; THP1_cell,"['Crohn_disease', 'Lyme_disease', 'atrial_fibrillation', 'chronic_low_back_pain'",72
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,A9_fibroblast_cell_line; B_cell; CHOK1_cell_line; CHOS_cell_line; Cervicovaginal,"['Crohn_disease', 'Lyme_disease', 'esophagus_adenocarcinoma', 'gastric_cancer', ",71
Gal(b1-4)Glc1Cer,lipid,A549_cell_line; CHOK1_cell_line; COS7_cell_line; HEK293_cell_line; HT29_cell_lin,"['Fabry_disease', 'X-linked_lymphoproliferative_syndrome_1', 'cataract', 'lung_s",69
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; AML_193_cell_line; Apo_H; C10_cell_line; COLO_320_cell_line; Cal-,"['Parkinson_disease', 'cholangiocarcinoma', 'influenza', 'multiple_sclerosis', '",68
Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; C10_cell_line; COLO_205_cell_line; COLO_320_cell_line; Caco_2_cel,[],65
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; B_cell; C10_cell_line; COLO_205_cell_line; COLO_320_cell_line; Ca,"['diabetic_kidney_disease', 'lung_non_small_cell_carcinoma']",61
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; AML_193_cell_line; C10_cell_line; COLO_320_cell_line; Cal-27_cell,[],59
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,lipid,AML_193_cell_line; EOL_1_cell_line; HEL92_1_7_cell_line; HEL_cell_line; HL_60_ce,"['cataract', 'lung_small_cell_carcinoma']",59
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,AML_193_cell_line; C10_cell_line; COLO_205_cell_line; COLO_320_cell_line; Caco_2,['colorectal_cancer'],58
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,B_cell; Caco_2_cell_line; HCT_8_cell_line; HT_29_cell_line; K562_cell_line; MDCK,"['Parkinson_disease', 'prostate_cancer', 'type_2_diabetes_mellitus']",58
