Motif,Diseased_%,Baseline_%,Log2FC,t_p,OR,fisher_p,q
core_fucose,82.2,0.0,9.68,1.495680363534246e-79,inf,9.62884547316776e-62,1.5887595030726805e-59
Chitobiose,96.2,27.9,1.78,1.7542732130202978e-37,64.47368421052632,6.61803992149003e-44,5.4598829352292746e-42
Trimannosylcore,94.7,27.9,1.76,1.76919438996812e-36,46.186602870813395,5.015392003972034e-41,2.758465602184619e-39
Lactosylceramide,3.4,54.4,-3.98,1.930464951162336e-22,0.02917843216350679,6.212059363156785e-29,2.562474487302174e-27
Terminal_LacNAc_type2,59.1,16.2,1.86,3.4216264817057653e-18,7.498395721925133,6.356718935730254e-16,2.0977172487909836e-14
bisectingGlcNAc,26.4,0.0,8.05,1.6698868775741188e-15,inf,6.198099996106082e-14,1.7044774989291725e-12
Internal_LewisX,16.8,0.0,7.4,6.901040724321654e-10,inf,1.0669570920801967e-08,2.5149702884747495e-07
Internal_LacNAc_type2,51.4,27.2,0.92,4.148885497870597e-06,2.8346267059138346,7.692162950374831e-06,0.0001586508608514809
high_mannose,9.1,0.0,6.53,8.682825184752568e-06,inf,0.0001054413546134914,0.0019330915012473423
H_type3,0.0,5.1,-5.71,0.007676298207383928,0.0,0.001372111272215881,0.022639835991562034
H_antigen_type1,0.0,4.4,-5.5,0.013758843689169714,0.0,0.0035674893077612905,0.05351233961641936
Oglycan_core1,0.0,3.7,-5.24,0.024795164372533342,0.0,0.009231899811687615,0.12693862241070472
PolyLacNAc,9.1,2.9,1.6,0.012797095838949354,3.3174603174603177,0.027022860020620806,0.33914508694486467
Internal_LacNAc_type1,1.4,5.9,-1.96,0.043905645890915286,0.23414634146341465,0.028775946771079426,0.33914508694486467
Internal_LacdiNAc_type2,3.4,0.0,5.11,0.007841940956607379,inf,0.04511267359578079,0.4962394095535887
H_antigen_type2,1.4,5.1,-1.77,0.07573111106914684,0.2696864111498258,0.054842482985152624,0.5588692899786248
Disialyl_T_antigen,0.0,2.2,-4.53,0.08325599375745288,0.0,0.06096755890675907,0.5588692899786248
polySia,0.0,2.2,-4.53,0.08325599375745288,0.0,0.06096755890675907,0.5588692899786248
Terminal_LacdiNAc_type2,4.3,0.7,2.41,0.02495745138126937,6.105527638190955,0.09573604578894235,0.8313919765881835
LDNF,2.4,0.0,4.65,0.024989434733646346,inf,0.16124978208436772,1.0
Tetraantennary_Nglycan,1.4,0.0,3.95,0.0832609009812865,inf,0.2807647976133975,1.0
I_antigen,1.0,2.2,-1.12,0.3867020514534064,0.43042071197411,0.38766165169704825,1.0
