Motif,Diseased_%,Baseline_%,Log2FC,t_p,OR,fisher_p,q
core_fucose,61.8,0.0,9.27,6.247708073682322e-63,inf,1.0404789228790335e-61,1.7167902227504052e-59
Internal_LewisX,27.0,0.0,8.08,1.0649310225585162e-21,inf,1.568467306705401e-22,1.2939855280319557e-20
Oglycan_core2,23.2,0.0,7.86,1.7269229029621615e-18,inf,3.4979701781115447e-19,1.9238835979613496e-17
bisectingGlcNAc,21.8,0.0,7.78,2.33020275328971e-17,inf,7.433634607839134e-18,3.0663742757336427e-16
Mucin_elongated_core2,20.1,0.0,7.66,5.67613543471497e-16,inf,1.4580203838249243e-16,4.8114672666222504e-15
Chitobiose,71.3,38.5,0.89,3.0285184599626306e-14,3.975232621784346,6.879742119409335e-14,1.8919290828375673e-12
Oglycan_core1,1.4,17.3,-3.57,4.060823338126759e-09,0.06636500754147813,2.4917222014672176e-11,5.873345189172726e-10
Trimannosylcore,66.6,37.6,0.82,2.9083031050222794e-11,3.300720288115246,6.613236778976836e-11,1.3639800856639724e-09
Lactosylceramide,0.3,13.3,-4.92,4.5318755830239694e-08,0.02237442922374429,8.76313832181158e-11,1.6065753589987895e-09
Internal_LacNAc_type2,71.3,46.0,0.63,5.058261924131946e-09,2.9187271062271063,5.962661833518044e-09,9.359759941842655e-08
Terminal_LacNAc_type2,43.0,19.0,1.17,1.631385858847873e-09,3.210973402033143,6.239839961228437e-09,9.359759941842655e-08
Oglycan_core4,2.4,12.8,-2.38,1.8941433650368012e-05,0.16626476971304557,5.2124539503009115e-06,7.167124181663754e-05
Oglycan_core3,0.7,7.1,-3.2,0.0003794515069622522,0.09020618556701031,9.59697210995464e-05,0.0012180772293403966
Internal_LewisA,4.8,0.4,3.17,0.0011633357917249486,11.290322580645162,0.0027590068909754068,0.03251686692935301
high_mannose,4.8,10.2,-1.08,0.023321556399893112,0.44288608383980055,0.024319835790548278,0.2613852714206473
PolyLacNAc,10.9,5.3,1.03,0.01774404512756048,2.186462324393359,0.02581812912944842,0.2613852714206473
I_antigen,5.1,1.3,1.87,0.011723818677596021,4.010791366906475,0.0269306037221273,0.2613852714206473
Disialyl_T_antigen,0.0,1.8,-4.22,0.04525642053378509,0.0,0.035416568180923945,0.32465187499180287
Internal_LacdiNAc_type1,1.7,0.0,4.18,0.02509446921955277,inf,0.07175995720269286,0.6231785757075958
Internal_LacdiNAc_type2,3.4,0.9,1.83,0.040804252587670904,3.9575971731448765,0.07673337866585296,0.6330503739932869
Galili_antigen,5.8,2.7,1.1,0.07074379856356532,2.258454106280193,0.0901357952942974,0.7082098201694796
Tetraantennary_Nglycan,1.4,0.0,3.87,0.04531305990352439,inf,0.1360875018252897,1.0
H_type3,4.4,2.2,0.97,0.15279643686391986,2.052142857142857,0.22752534348479778,1.0
Terminal_LacNAc_type1,7.5,4.9,0.62,0.21040328392728264,1.5867158671586716,0.27702396946843943,1.0
polySia,0.0,0.4,-2.44,0.3183847375038864,0.0,0.4354527938342967,1.0
i_antigen,10.6,8.4,0.33,0.4002315611397729,1.2890719164323021,0.4549076196516225,1.0
Internal_LacNAc_type1,19.5,16.8,0.21,0.43833016607132,1.194915254237288,0.49264333562804496,1.0
Terminal_LacdiNAc_type1,0.7,0.0,2.97,0.15765374313234562,inf,0.5073835189442125,1.0
VIM,5.8,4.4,0.38,0.4773495629758638,1.3304347826086957,0.5532565002134975,1.0
Terminal_LacdiNAc_type2,2.4,1.8,0.41,0.6215617433503302,1.3583916083916083,0.7633172084877563,1.0
H_antigen_type1,7.2,6.6,0.11,0.8133118240201781,1.0860294117647058,0.8631222884425473,1.0
H_antigen_type2,9.9,9.3,0.09,0.8164601930314714,1.0723304473304474,0.8813108292617401,1.0
3SGb5,0.0,0.0,0.0,1.0,,1.0,1.0
6DSGb4,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb4,0.0,0.0,0.0,1.0,,1.0,1.0
3SGb4,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb3,0.0,0.0,0.0,1.0,,1.0,1.0
3SGb3,0.0,0.0,0.0,1.0,,1.0,1.0
Gb3,0.0,0.0,0.0,1.0,,1.0,1.0
Gb4,0.0,0.0,0.0,1.0,,1.0,1.0
Gb5,0.0,0.0,0.0,1.0,,1.0,1.0
GloboH,0.0,0.0,0.0,1.0,,1.0,1.0
ExtB,0.0,0.0,0.0,1.0,,1.0,1.0
B_antigen_type2,0.0,0.0,0.0,1.0,,1.0,1.0
B_antigen,0.0,0.0,0.0,1.0,,1.0,1.0
B_antigen_type1,0.0,0.0,0.0,1.0,,1.0,1.0
A_antigen_type3,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb5,0.0,0.0,0.0,1.0,,1.0,1.0
PI_antigen,0.0,0.0,0.0,1.0,,1.0,1.0
66DSGb5,0.0,0.0,0.0,1.0,,1.0,1.0
Forssman_antigen,0.0,0.0,0.0,1.0,,1.0,1.0
iGb3,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb5_2,0.0,0.0,0.0,1.0,,1.0,1.0
6SGb4,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb4_2,0.0,0.0,0.0,1.0,,1.0,1.0
6SGb5,0.0,0.0,0.0,1.0,,1.0,1.0
6SGb3,0.0,0.0,0.0,1.0,,1.0,1.0
6DSGb5_2,0.0,0.0,0.0,1.0,,1.0,1.0
LewisB,0.0,0.0,0.0,1.0,,1.0,1.0
Terminal_LewisA,0.0,0.0,0.0,1.0,,1.0,1.0
A_antigen_type2,0.0,0.0,0.0,1.0,,1.0,1.0
SialylLewisX,0.0,0.0,0.0,1.0,,1.0,1.0
LewisY,0.0,0.0,0.0,1.0,,1.0,1.0
SulfoSialylLewisX,0.0,0.0,0.0,1.0,,1.0,1.0
betaGlucan,0.0,0.0,0.0,1.0,,1.0,1.0
NeoLacto_Series,0.0,0.0,0.0,1.0,,1.0,1.0
Lacto_Series(LewisC),0.0,0.0,0.0,1.0,,1.0,1.0
Ganglio_Series,0.0,0.0,0.0,1.0,,1.0,1.0
8DSGb3_2,0.0,0.0,0.0,1.0,,1.0,1.0
6DSGb5,0.0,0.0,0.0,1.0,,1.0,1.0
KeratanSulfate,0.0,0.0,0.0,1.0,,1.0,1.0
Hyaluronan,0.0,0.0,0.0,1.0,,1.0,1.0
LewisD,0.0,0.0,0.0,1.0,,1.0,1.0
Globo_series,0.0,0.0,0.0,1.0,,1.0,1.0
Sda,0.0,0.0,0.0,1.0,,1.0,1.0
SDA,0.0,0.0,0.0,1.0,,1.0,1.0
Cellulose_like,0.0,0.0,0.0,1.0,,1.0,1.0
Chondroitin_4S,0.0,0.0,0.0,1.0,,1.0,1.0
Mollu_series,0.0,0.0,0.0,1.0,,1.0,1.0
Arthro_series,0.0,0.0,0.0,1.0,,1.0,1.0
Dermatansulfate,0.0,0.0,0.0,1.0,,1.0,1.0
Peptidoglycan,0.0,0.0,0.0,1.0,,1.0,1.0
Lactotriaosylceramide,0.0,0.0,0.0,1.0,,1.0,1.0
CAD,0.0,0.0,0.0,1.0,,1.0,1.0
LexLex,0.0,0.0,0.0,1.0,,1.0,1.0
GM3,0.0,0.0,0.0,1.0,,1.0,1.0
GM2,0.0,0.0,0.0,1.0,,1.0,1.0
GM1,0.0,0.0,0.0,1.0,,1.0,1.0
cisGM1,0.0,0.0,0.0,1.0,,1.0,1.0
VIM2,0.0,0.0,0.0,1.0,,1.0,1.0
GD3,0.0,0.0,0.0,1.0,,1.0,1.0
GD1a,0.0,0.0,0.0,1.0,,1.0,1.0
Muco_series,0.0,0.0,0.0,1.0,,1.0,1.0
Heparin,0.0,0.0,0.0,1.0,,1.0,1.0
GPI_anchor,0.0,0.0,0.0,1.0,,1.0,1.0
Isoglobo_series,0.0,0.0,0.0,1.0,,1.0,1.0
Fuc_LN3,0.0,0.0,0.0,1.0,,1.0,1.0
SDLex,0.0,0.0,0.0,1.0,,1.0,1.0
GD1b,0.0,0.0,0.0,1.0,,1.0,1.0
GD2,0.0,0.0,0.0,1.0,,1.0,1.0
LcGg4,0.0,0.0,0.0,1.0,,1.0,1.0
GT1b,0.0,0.0,0.0,1.0,,1.0,1.0
GD1a_2,0.0,0.0,0.0,1.0,,1.0,1.0
GD1,0.0,0.0,0.0,1.0,,1.0,1.0
GT1c,0.0,0.0,0.0,1.0,,1.0,1.0
2Fuc_GM1,0.0,0.0,0.0,1.0,,1.0,1.0
GQ1c,0.0,0.0,0.0,1.0,,1.0,1.0
O_linked_mannose,0.0,0.0,0.0,1.0,,1.0,1.0
GT1aa,0.0,0.0,0.0,1.0,,1.0,1.0
GT3,0.0,0.0,0.0,1.0,,1.0,1.0
GT1a,0.0,0.0,0.0,1.0,,1.0,1.0
GT2,0.0,0.0,0.0,1.0,,1.0,1.0
