Motif,Diseased_%,Baseline_%,Log2FC,t_p,OR,fisher_p,q
Oglycan_core2,35.6,0.0,8.48,8.085769457706288e-16,inf,9.565929487887087e-13,1.5783783655013693e-10
i_antigen,24.2,0.0,7.92,1.6899628578844326e-10,inf,1.9409621597214067e-08,1.0675291878467738e-06
Mucin_elongated_core2,24.2,0.0,7.92,1.6899628578844326e-10,inf,1.9409621597214067e-08,1.0675291878467738e-06
PolyLacNAc,23.5,0.0,7.88,3.287285928328053e-10,inf,3.873409418520405e-08,1.5977813851396672e-06
Oglycan_core1,22.8,0.0,7.84,6.360407518785281e-10,inf,8.049053258016514e-08,2.6561875751454495e-06
bisectingGlcNAc,21.5,0.0,7.75,2.3444919725931545e-09,inf,1.6372875442986224e-07,4.502540746821212e-06
Internal_LewisX,19.5,0.0,7.61,1.598967958193055e-08,inf,1.2457475431560787e-06,2.936404923153614e-05
Oglycan_core6,0.0,10.6,-6.74,0.0022349276510175856,0.0,8.299909875949449e-05,0.0017118564119145737
H_type3,12.8,0.0,7.01,7.266981060791823e-06,inf,0.00022031529273860948,0.004019527782781234
Oglycan_core3,0.0,9.4,-6.57,0.004065822073275123,0.0,0.0002436077444109839,0.004019527782781234
Terminal_LacNAc_type2,53.0,30.6,0.79,0.0006768262583134343,2.5609890109890108,0.0010282572694040371,0.015423859041060558
high_mannose,0.0,5.9,-5.9,0.024450358989155825,0.0,0.0058570050189047556,0.08053381900994039
Terminal_LacNAc_type1,28.9,16.5,0.81,0.025361435502061585,2.057277628032345,0.039579505384925426,0.5023552606548227
Internal_LacNAc_type2,33.6,21.2,0.66,0.037493318978879614,1.8799102132435466,0.051973429899229415,0.6125439952409181
Internal_LacNAc_type1,13.4,5.9,1.18,0.04846540417188601,2.4806201550387597,0.08142922624610037,0.895721488707104
Oglycan_core4,4.7,10.6,-1.16,0.12169694125842904,0.4162754303599374,0.10729523975814294,1.0
Chitobiose,36.9,45.9,-0.31,0.1843975258192919,0.6901254773595199,0.21231442774314319,1.0
